Country,Continent,Animal fats,Cereals - Excluding Beer,Fish Seafood,Fruits - Excluding Wine,Miscellaneous,Milk - Excluding Butter,Offals,Oilcrops,Pulses,Spices,Starchy Roots,Stimulants,Treenuts,Vegetal Products,Vegetable Oils,Vegetables,Obesity,Animal products total,Deaths
Afghanistan,Asia,6.2224,8.0353,0.0327,0.4246,0.0163,8.2803,0.3103,1.0452,0.196,0.2776,0.049,0.098,0.7513,28.3684,17.0831,0.3593,4.5,28.45,0.006185779
Albania,Europe,3.4172,2.6734,0.1445,0.6418,0.017,17.7576,0.2933,3.1622,0.1148,0,0.051,0.527,0.9181,17.9998,9.2443,0.6503,22.3,42.3878,0.050951374
Algeria,Africa,0.8972,4.2035,0.2008,0.5772,0.0439,8.0934,0.1067,1.1983,0.2698,0.1568,0.1129,0.2886,0.8595,35.5857,27.3606,0.5145,26.6,19.5307,0.006558153
Angola,Africa,1.313,6.5545,1.4155,0.3488,0.0308,1.2309,0.1539,3.9902,0.3282,0.0103,0.7078,0.1128,0.0308,34.701,22.4638,0.1231,6.8,26.4848,0.00146055
Antigua And Barbuda,North America,4.6686,3.2153,1.5263,1.2177,0.0898,6.6607,0.1347,1.3579,0.0673,0.3591,0.0449,1.0549,0.202,22.2995,14.4436,0.2469,19.1,42.4107,0.007142857
Argentina,South America,3.3076,1.3316,0.1664,0.2091,0,5.8512,0.1878,0.064,0.0213,0.0213,0.111,0.2475,0.1366,19.6449,17.3147,0.1878,28.5,51.1971,0.108226635
Armenia,Asia,6.2619,2.5068,0.2218,0.5468,0.0361,10.4709,0.2734,0.6602,0.0774,0.0103,0.0567,1.8002,0.9542,20.3384,12.8127,0.8717,20.9,42.1003,0.105345061
Australia,Oceania,4.603,0.9908,0.4515,0.4028,0.052,6.5196,0.2339,1.2929,0.026,0.1007,0.0422,0.7926,1.6145,25.8901,20.3612,0.2144,30.4,36.4118,0.003529549
Austria,Europe,12.8517,1.2297,0.4259,0.2249,0,5.1497,0.075,1.1367,0.012,0.102,0.045,0.4439,0.8398,22.1762,17.9323,0.2039,21.9,37.1514,0.089679156
Azerbaijan,Europe,7.7987,5.4481,0.2122,0.594,0.017,9.9202,0.1612,0.1867,0.0255,0.017,0.1697,1.3663,2.2573,17.8802,7.1538,0.6534,19.9,46.1388,0.031222794
Bahamas,North America,4.56,3.6327,1.4991,0.8995,0.3556,5.1318,0.258,2.6077,0.0209,0.2719,0.0349,0.9343,0.4532,19.7741,10.1659,0.3974,32.1,49.0029,0.044783715
Bangladesh,Asia,1.2369,6.9946,2.1646,0.427,0.0147,3.2249,0.1178,0.6332,0.5448,1.0602,0.2209,0.0295,0.2651,40.1561,29.6422,0.3092,3.4,12.9436,0.004823066
Barbados,North America,3.9733,2.1187,1.806,0.4636,0.3235,5.6176,0.097,3.2616,0.2318,0.3181,0.1078,0.6038,0.7817,24.1576,15.6882,0.2534,24.8,40.1963,0.006271777
Belarus,Europe,7.8662,4.8075,0.5151,0.2316,0.0519,2.0644,0.2316,0.4392,0,0.016,0.1957,0.8385,1.0462,26.1859,18.2119,0.3394,26.6,36.9589,0.018912
Belgium,Europe,12.6234,1.3531,0.6188,0.2373,0,6.5057,0.1379,0.5226,0.0353,0.0994,0.077,0.0834,1.2056,23.2622,19.3504,0.2982,24.5,33.5898,0.185427703
Belize,North America,9.8102,3.051,0.4155,0.3039,0.1984,2.5053,0.031,1.4511,0.3783,0.0496,0.031,0.8062,0.3845,26.2123,19.3538,0.2108,22.4,34.8071,0.073031026
Benin,Africa,0.4816,4.6952,0.8599,0.1978,0.0258,1.2469,0.0946,7.3007,0.6535,2.597,1.0835,0.1118,1.9176,43.8301,24.8775,0.3612,8.2,9.6655,0.000450487
Bolivia,South America,4.1685,2.7296,0.1831,0.5407,0.0436,3.2703,0.1395,1.3604,0.2093,0.1483,0.4796,0.7849,0.7413,19.5779,12.3485,0.1919,18.7,53.0827,0.092435313
Bosnia And Herzegovina,Europe,2.4453,3.6588,0.3049,0.5976,0.0915,11.2629,0.1037,0.9208,0.2012,2.2196,0.1342,2.4819,0.9574,25.3552,13.2996,0.7866,19.4,35.1789,0.145534898
Botswana,Africa,4.131,7.183,0.3622,0.1696,0.1927,8.5241,0.2081,1.1715,0.1156,0.5472,0.1927,0.7399,0.1541,33.0328,22.3815,0.185,16.1,20.709,0.007034959
